subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
66,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
66,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
66,delay,T,C,1,0.4,15,4,NA,NA,NA,NA
66,delay,T,NA,1,0.333333333333333,15,5,NA,NA,NA,NA
66,delay,C,T,3,0.2,15,1,6,0.166666666666667,9,0.222222222222222
66,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
66,delay,S,NA,3,0.4,15,3,NA,NA,NA,NA
66,delay,T,C,3,NA,15,4,NA,NA,NA,NA
66,delay,T,NA,3,0.333333333333333,15,5,5,1,10,0
67,delay,C,T,1,NA,15,1,NA,NA,NA,NA
67,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
67,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
67,delay,T,C,1,0.266666666666667,15,4,NA,NA,NA,NA
67,delay,T,NA,1,0.266666666666667,15,5,NA,NA,NA,NA
67,delay,C,T,3,0.133333333333333,15,1,4,0.25,11,0.0909090909090909
67,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
67,delay,S,NA,3,0.0666666666666667,15,3,NA,NA,NA,NA
67,delay,T,C,3,NA,15,4,NA,NA,NA,NA
